WEEK,COUNTRY,ADMIN1,EVENT_TYPE,SUB_EVENT_TYPE,EVENTS,FATALITIES,POPULATION_EXPOSURE,DISORDER_TYPE
09/28/2024,Mexico,Baja California,Battles,Armed clash,2,0,54534.0,Political violence
10/05/2024,Mexico,Baja California,Battles,Armed clash,2,8,5799.0,Political violence
10/12/2024,Mexico,Baja California,Battles,Armed clash,1,0,66284.0,Political violence
11/02/2024,Mexico,Baja California,Battles,Armed clash,1,2,1706.0,Political violence
11/23/2024,Mexico,Baja California,Battles,Armed clash,2,0,68616.0,Political violence
12/07/2024,Mexico,Baja California,Battles,Armed clash,2,0,120818.0,Political violence
12/14/2024,Mexico,Baja California,Battles,Armed clash,2,1,54534.0,Political violence
12/21/2024,Mexico,Baja California,Battles,Armed clash,1,0,54534.0,Political violence
01/04/2025,Mexico,Baja California,Battles,Armed clash,1,0,54534.0,Political violence
01/11/2025,Mexico,Baja California,Battles,Armed clash,1,1,167140.0,Political violence
01/18/2025,Mexico,Baja California,Battles,Armed clash,1,0,250516.0,Political violence
01/25/2025,Mexico,Baja California,Battles,Armed clash,2,1,250516.0,Political violence
02/08/2025,Mexico,Baja California,Battles,Armed clash,3,2,221674.0,Political violence
02/15/2025,Mexico,Baja California,Battles,Armed clash,1,0,250516.0,Political violence
02/22/2025,Mexico,Baja California,Battles,Armed clash,3,3,221674.0,Political violence
03/01/2025,Mexico,Baja California,Battles,Armed clash,1,1,66284.0,Political violence
