WEEK,COUNTRY,POPULATION_EXPOSURE,FATALITIES
10/12/2024,Ukraine,5656600.0,1396
10/14/2023,Russia,460444.0,1
10/14/2023,Ukraine,7308956.0,1355
10/15/2022,Russia,325832.0,12
10/15/2022,Ukraine,6833404.0,1184
10/16/2021,Russia,89748.0,0
10/16/2021,Ukraine,545231.0,1
10/17/2020,Russia,53661.0,0
10/17/2020,Ukraine,474120.0,1
10/19/2024,Russia,1981777.0,154
10/19/2024,Ukraine,5402728.0,1717
10/21/2023,Russia,89916.0,0
10/21/2023,Ukraine,4076305.0,685
10/22/2022,Russia,98223.0,2
10/22/2022,Ukraine,6425694.0,1092
10/23/2021,Russia,140589.0,0
10/23/2021,Ukraine,648509.0,3
10/24/2020,Russia,25352.0,1
10/24/2020,Ukraine,521671.0,6
10/26/2024,Russia,1180532.0,159
10/26/2024,Ukraine,6820139.0,1803
10/28/2023,Russia,845696.0,0
10/28/2023,Ukraine,4928600.0,655
10/29/2022,Russia,84423.0,0
10/29/2022,Ukraine,6508819.0,1447
10/30/2021,Russia,12122.0,0
10/30/2021,Ukraine,1029865.0,2
10/31/2020,Russia,33386.0,0
10/31/2020,Ukraine,358293.0,2
11/02/2024,Russia,1226117.0,180
11/02/2024,Ukraine,7391098.0,1830
11/04/2023,Russia,329010.0,1
11/04/2023,Ukraine,4257424.0,852
11/05/2022,Russia,72646.0,0
11/05/2022,Ukraine,6314461.0,2004
11/06/2021,Russia,124039.0,0
11/06/2021,Ukraine,796604.0,7
11/07/2020,Ukraine,419397.0,0
11/09/2024,Russia,1187197.0,368
11/09/2024,Ukraine,3949680.0,1918
11/11/2023,Russia,908597.0,3
11/11/2023,Ukraine,4564793.0,1202
11/12/2022,Russia,248570.0,7
11/12/2022,Ukraine,7299387.0,704
11/13/2021,Russia,81578.0,0
11/13/2021,Ukraine,716541.0,1
11/14/2020,Russia,71144.0,0
11/14/2020,Ukraine,278542.0,0
11/16/2024,Russia,1440744.0,128
11/16/2024,Ukraine,6623051.0,1999
11/18/2023,Russia,140535.0,0
11/18/2023,Ukraine,4589864.0,728
11/19/2022,Russia,505865.0,9
11/19/2022,Ukraine,4769375.0,614
11/20/2021,Russia,397237.0,2
11/20/2021,Ukraine,611097.0,1
11/21/2020,Ukraine,354069.0,1
11/23/2024,Russia,1087036.0,73
11/23/2024,Ukraine,7233939.0,2371
11/25/2023,Russia,523586.0,0
11/25/2023,Ukraine,5202054.0,790
11/26/2022,Russia,202367.0,0
11/26/2022,Ukraine,4205714.0,1086
11/27/2021,Russia,62205.0,1
11/27/2021,Ukraine,598397.0,2
11/28/2020,Russia,41026.0,0
11/28/2020,Ukraine,717493.0,6
11/30/2024,Russia,1125624.0,78
11/30/2024,Ukraine,3462743.0,2059
12/02/2023,Russia,308437.0,1
12/02/2023,Ukraine,6424959.0,628
12/03/2022,Russia,518282.0,3
12/03/2022,Ukraine,5786532.0,470
12/04/2021,Russia,715243.0,2
12/04/2021,Ukraine,453199.0,2
12/05/2020,Russia,20001.0,1
12/05/2020,Ukraine,257152.0,0
12/07/2024,Russia,1656582.0,81
12/07/2024,Ukraine,5165719.0,1780
12/09/2023,Russia,259179.0,1
12/09/2023,Ukraine,4727546.0,819
12/10/2022,Russia,204567.0,1
12/10/2022,Ukraine,4979112.0,611
12/11/2021,Russia,104076.0,0
12/11/2021,Ukraine,620333.0,0
12/12/2020,Russia,75884.0,3
12/12/2020,Ukraine,448138.0,2
12/14/2024,Russia,1942363.0,93
12/14/2024,Ukraine,4676863.0,1941
12/16/2023,Russia,215314.0,1
12/16/2023,Ukraine,4693229.0,742
12/17/2022,Russia,456686.0,4
12/17/2022,Ukraine,4653412.0,755
12/18/2021,Ukraine,420854.0,1
12/19/2020,Russia,74217.0,0
12/19/2020,Ukraine,244952.0,0
12/21/2024,Russia,2164700.0,119
12/21/2024,Ukraine,3740516.0,1933
12/23/2023,Russia,270858.0,3
12/23/2023,Ukraine,5977436.0,845
12/24/2022,Ukraine,4770556.0,1091
12/25/2021,Russia,67262.0,0
12/25/2021,Ukraine,367648.0,1
12/26/2020,Russia,106614.0,3
12/26/2020,Ukraine,316265.0,0
12/28/2019,Ukraine,221164.0,0
12/28/2024,Russia,729355.0,84
12/28/2024,Ukraine,5336128.0,1733
12/30/2023,Russia,412323.0,28
12/30/2023,Ukraine,6574733.0,767
12/31/2022,Russia,295922.0,1
12/31/2022,Ukraine,3527893.0,923
