WEEK,REGION,COUNTRY,ADMIN1,EVENT_TYPE,SUB_EVENT_TYPE,EVENTS,FATALITIES,POPULATION_EXPOSURE,DISORDER_TYPE,ID,CENTROID_LATITUDE,CENTROID_LONGITUDE
08/17/2024,North America,Canada,Alberta,Protests,Peaceful protest,7,0,40495,Demonstrations,485,54.498,-115.0035
08/24/2024,North America,Canada,Alberta,Protests,Peaceful protest,2,0,30309,Demonstrations,485,54.498,-115.0035
08/31/2024,North America,Canada,Alberta,Protests,Peaceful protest,5,0,30309,Demonstrations,485,54.498,-115.0035
09/07/2024,North America,Canada,Alberta,Protests,Peaceful protest,5,0,35339,Demonstrations,485,54.498,-115.0035
09/14/2024,North America,Canada,Alberta,Protests,Peaceful protest,4,0,38034,Demonstrations,485,54.498,-115.0035
09/21/2024,North America,Canada,Alberta,Protests,Peaceful protest,6,0,38034,Demonstrations,485,54.498,-115.0035
09/28/2024,North America,Canada,Alberta,Protests,Peaceful protest,5,0,30309,Demonstrations,485,54.498,-115.0035
10/05/2024,North America,Canada,Alberta,Protests,Peaceful protest,6,0,30309,Demonstrations,485,54.498,-115.0035
10/12/2024,North America,Canada,Alberta,Protests,Peaceful protest,1,0,8040,Demonstrations,485,54.498,-115.0035
10/19/2024,North America,Canada,Alberta,Protests,Peaceful protest,3,0,30309,Demonstrations,485,54.498,-115.0035
10/26/2024,North America,Canada,Alberta,Protests,Peaceful protest,2,0,30309,Demonstrations,485,54.498,-115.0035
11/02/2024,North America,Canada,Alberta,Protests,Peaceful protest,4,0,32744,Demonstrations,485,54.498,-115.0035
11/09/2024,North America,Canada,Alberta,Protests,Peaceful protest,13,0,65613,Demonstrations,485,54.498,-115.0035
11/16/2024,North America,Canada,Alberta,Protests,Peaceful protest,5,0,40312,Demonstrations,485,54.498,-115.0035
11/23/2024,North America,Canada,Alberta,Protests,Peaceful protest,5,0,39834,Demonstrations,485,54.498,-115.0035
11/30/2024,North America,Canada,Alberta,Protests,Peaceful protest,4,0,13669,Demonstrations,485,54.498,-115.0035
