WEEK,COUNTRY,EVENT_TYPE,EVENTS,CENTROID_LATITUDE,CENTROID_LONGITUDE
06/07/2025,Russia,Explosions/Remote violence,6,50.6124,37.2397
06/14/2025,Russia,Explosions/Remote violence,7,50.6124,37.2397
06/21/2025,Russia,Explosions/Remote violence,3,50.6124,37.2397
06/28/2025,Russia,Explosions/Remote violence,6,50.6124,37.2397
07/05/2025,Russia,Explosions/Remote violence,6,50.6124,37.2397
07/12/2025,Russia,Explosions/Remote violence,2,50.6124,37.2397
07/19/2025,Russia,Explosions/Remote violence,4,50.6124,37.2397
07/26/2025,Russia,Explosions/Remote violence,5,50.6124,37.2397
08/02/2025,Russia,Explosions/Remote violence,5,50.6124,37.2397
08/09/2025,Russia,Explosions/Remote violence,6,50.6124,37.2397
08/16/2025,Russia,Explosions/Remote violence,3,50.6124,37.2397
08/23/2025,Russia,Explosions/Remote violence,5,50.6124,37.2397
08/30/2025,Russia,Explosions/Remote violence,3,50.6124,37.2397
09/06/2025,Russia,Explosions/Remote violence,2,50.6124,37.2397
09/20/2025,Russia,Explosions/Remote violence,2,50.6124,37.2397
09/27/2025,Russia,Explosions/Remote violence,3,50.6124,37.2397
10/04/2025,Russia,Explosions/Remote violence,7,50.6124,37.2397
07/28/2018,Russia,Riots,1,50.6124,37.2397
01/21/2023,Russia,Violence against civilians,1,50.6124,37.2397
09/21/2024,Russia,Violence against civilians,1,50.6124,37.2397
08/25/2018,Russia,Violence against civilians,1,50.6124,37.2397
01/12/2019,Russia,Violence against civilians,1,50.6124,37.2397
10/10/2020,Russia,Violence against civilians,1,50.6124,37.2397
04/17/2021,Russia,Violence against civilians,1,50.6124,37.2397
05/22/2021,Russia,Violence against civilians,1,50.6124,37.2397
03/12/2022,Russia,Violence against civilians,1,50.6124,37.2397
12/31/2022,Russia,Violence against civilians,1,50.6124,37.2397
09/16/2023,Russia,Violence against civilians,1,50.6124,37.2397
11/11/2023,Russia,Violence against civilians,1,50.6124,37.2397
06/08/2024,Russia,Violence against civilians,1,50.6124,37.2397
07/06/2024,Russia,Violence against civilians,1,50.6124,37.2397
